Name,link,Budget places (total),Lowest score budget,Paid places,Average cost (₽),Teachers with scientists step(%),Education level,Specialties
Московский исламский институт,https://vuzopedia.ru/vuz/941,15,0.0,20,90000,33.33,"Бакалавриат, Магистратура",Теология
Московский гуманитарно-экономический университет,https://vuzopedia.ru/vuz/966,0,0.0,880,120118,94.37,"Бакалавриат, Специалитет, Магистратура","Журналистика, Международные отношения, Менеджмент, Педагогическое образование (с двумя профилями подготовки), Прикладная информатика"
Санкт-Петербургский университет технологий управления и экономики,https://vuzopedia.ru/vuz/1064,17,0.0,4825,134117,75.76,"Бакалавриат, Магистратура","Бизнес-информатика, Гостиничное дело, Государственное и муниципальное управление, Издательское дело, Лингвистика"
Балтийский государственный технический университет «ВОЕНМЕХ» имени Д. Ф. Устинова,https://vuzopedia.ru/vuz/1069,1503,69.37,839,249692,51.78,"Бакалавриат, Специалитет, Магистратура","Баллистика и гидроаэродинамика, Бизнес-информатика, Боеприпасы и взрыватели, Двигатели летательных аппаратов, Интегрированные системы летательных аппаратов"
Санкт-Петербургский Горный университет,https://vuzopedia.ru/vuz/1073,2350,76.41,806,600000,92.62,"Бакалавриат, Специалитет, Магистратура","Автоматизация технологических процессов и производств, Архитектура, Горное дело, Землеустройство и кадастры, Информатика и вычислительная техника"
Государственный университет морского и речного флота имени адмирала С. О. Макарова,https://vuzopedia.ru/vuz/1082,887,65.83,564,204727,67.32,"Бакалавриат, Специалитет, Магистратура","Водные пути, порты и гидротехнические сооружения, Государственное и муниципальное управление, Информационная безопасность, Информационная безопасность автоматизированных систем, Информационные системы и технологии"
Северный (Арктический) федеральный университет имени М.В. Ломоносова,https://vuzopedia.ru/vuz/1084,2875,68.22,660,173974,79.05,"Бакалавриат, Специалитет, Магистратура","Автоматизация технологических процессов и производств, Бизнес-информатика, Биология, Биотехнические системы и технологии, Биотехнология"
Санкт-Петербургский государственный аграрный университет,https://vuzopedia.ru/vuz/1085,803,63.36,615,137872,78.93,"Бакалавриат, Магистратура","Агроинженерия, Агрономия, Агрохимия и агропочвоведение, Биология, Водные биоресурсы и аквакультура"
Санкт-Петербургский государственный архитектурно-строительный университет,https://vuzopedia.ru/vuz/1108,1767,75.34,5144,198163,62.93,"Бакалавриат, Специалитет, Магистратура","Архитектура, Градостроительство, Графика, Дизайн, Дизайн архитектурной среды"
Ленинградский государственный университет имени А. С. Пушкина,https://vuzopedia.ru/vuz/1122,735,77.59,2735,138057,74.26,"Бакалавриат, Специалитет, Магистратура","Биотехнология, Гостиничное дело, Государственное и муниципальное управление, Дизайн, Документоведение и архивоведение"
Российский государственный университет социальных технологий,https://vuzopedia.ru/vuz/1128,319,81.77,165,204647,75.76,"Бакалавриат, Магистратура","Журналистика, Менеджмент, Педагогическое образование, Прикладная информатика, Прикладная математика и информатика"
Российский государственный педагогический университет имени А. И. Герцена,https://vuzopedia.ru/vuz/1147,2735,79.03,1563,203420,77.78,"Бакалавриат, Специалитет, Магистратура","Актерское искусство, Биология, Вокальное искусство, География, Гостиничное дело"
"
                    Технологический университет имени дважды Героя Советского Союза, летчика-космонавта А.А. Л..                ",https://vuzopedia.ru/vuz/1161,462,72.23,636,145210,90.99,"Бакалавриат, Специалитет, Магистратура","Бизнес-информатика, Государственное и муниципальное управление, Дизайн, Информационная безопасность, Информационные системы и технологии"
