Name,link,Budget places (total),Lowest score budget,Paid places,Average cost (₽),Teachers with scientists step(%),Education level,Specialties
Лесосибирский филиал Сибирский государственный университет науки и технологий имени академ..,https://vuzopedia.ru/vuz/6127,94,61.1,78,138538,73.91,"Бакалавриат, Магистратура","Информатика и вычислительная техника, Социальная работа, Технологические машины и оборудование, Технология лесозаготовительных и деревоперерабатывающих производств, Экономика"
Рязанский институт (филиал) Московского Политехнического университета,https://vuzopedia.ru/vuz/6139,200,63.49,271,87565,61.19,"Бакалавриат, Специалитет, Магистратура","Архитектура, Дизайн, Землеустройство и кадастры, Информатика и вычислительная техника, Информационные системы и технологии"
Амурский государственный университет,https://vuzopedia.ru/vuz/6172,783,64.32,1232,176404,66.12,"Бакалавриат, Специалитет, Магистратура","Автоматизация технологических процессов и производств, Гостиничное дело, Государственное и муниципальное управление, Дизайн, Журналистика"
Амурский гуманитарно-педагогический государственный университет,https://vuzopedia.ru/vuz/6182,377,63.7,169,114278,75.25,"Бакалавриат, Магистратура","География, Дизайн, Информационная безопасность, Лингвистика, Менеджмент"
Северо-Восточный государственный университет,https://vuzopedia.ru/vuz/6202,309,61.96,393,180661,66.33,"Бакалавриат, Специалитет, Магистратура","Биология, Горное дело, Государственное и муниципальное управление, Менеджмент, Педагогическое образование"
Приамурский государственный университет имени Шолом-Алейхема,https://vuzopedia.ru/vuz/6207,416,63.42,320,126563,81.48,"Бакалавриат, Магистратура","Дизайн, Журналистика, Информационные системы и технологии, Лингвистика, Менеджмент"
Шадринский государственный педагогический университет,https://vuzopedia.ru/vuz/6225,494,65.97,458,80855,84.87,"Бакалавриат, Магистратура","Дизайн, Информатика и вычислительная техника, Педагогическое образование, Педагогическое образование (с двумя профилями подготовки), Прикладная информатика"
Благовещенский государственный педагогический университет,https://vuzopedia.ru/vuz/6230,643,59.98,385,123270,75.15,"Бакалавриат, Магистратура","Информационные системы и технологии, Математическое обеспечение и администрирование информационных систем, Педагогическое образование, Педагогическое образование (с двумя профилями подготовки), Профессиональное обучение (по отраслям)"
Чеченский государственный педагогический университет,https://vuzopedia.ru/vuz/6238,1263,62.62,2760,84234,59.92,"Бакалавриат, Магистратура","Гостиничное дело, Государственное и муниципальное управление, Декоративно-прикладное искусство и народные промыслы, Дизайн, Педагогическое образование"
Бурятская государственная сельскохозяйственная академия имени В.Р. Филиппова,https://vuzopedia.ru/vuz/6317,435,59.09,501,50178,81.55,"Бакалавриат, Специалитет, Магистратура","Агроинженерия, Агрономия, Агрохимия и агропочвоведение, Ветеринария, Ветеринарно-санитарная экспертиза"
Байкало-Амурский институт железнодорожного транспорта (филиал ДВГУПС в г. Тында),https://vuzopedia.ru/vuz/6324,49,55.07,88,132718,20.0,Специалитет,"Подвижной состав железных дорог, Системы обеспечения движения поездов, Строительство железных дорог, мостов и транспортных тоннелей, Эксплуатация железных дорог"
Мичуринский государственный аграрный университет,https://vuzopedia.ru/vuz/6332,1227,60.73,1505,78090,82.03,"Бакалавриат, Специалитет, Магистратура","Агроинженерия, Агрономия, Агрохимия и агропочвоведение, Биотехнология, Ветеринария"
Амурский институт железнодорожного транспорта (филиал ДВГУПС в г. Свободном),https://vuzopedia.ru/vuz/6345,0,48.09,153,122421,37.5,"Бакалавриат, Специалитет","Нефтегазовое дело, Подвижной состав железных дорог, Системы обеспечения движения поездов, Строительство железных дорог, мостов и транспортных тоннелей, Эксплуатация железных дорог"
Иркутский государственный университет путей сообщения,https://vuzopedia.ru/vuz/6355,785,52.0,1524,154382,77.94,"Бакалавриат, Специалитет, Магистратура","Государственное и муниципальное управление, Информационная безопасность, Информационная безопасность автоматизированных систем, Информационные системы и технологии, Конструкторско-технологическое обеспечение машиностроительных производств"
Приморский институт железнодорожного транспорта (филиал ДВГУПС в г. Уссурийске),https://vuzopedia.ru/vuz/6361,0,55.35,140,124520,87.5,Специалитет,"Подвижной состав железных дорог, Системы обеспечения движения поездов, Строительство железных дорог, мостов и транспортных тоннелей, Экономическая безопасность, Эксплуатация железных дорог"
Сахалинский институт железнодорожного транспорта (филиал ДВГУПС в г. Южно-Сахалинске),https://vuzopedia.ru/vuz/6363,15,57.35,205,105060,44.44,"Бакалавриат, Специалитет","Наземные транспортно-технологические средства, Подвижной состав железных дорог, Пожарная безопасность, Системы обеспечения движения поездов, Строительство"
Дальневосточный государственный аграрный университет,https://vuzopedia.ru/vuz/6365,638,54.03,480,137600,84.17,"Бакалавриат, Специалитет, Магистратура","Агроинженерия, Агрономия, Агрохимия и агропочвоведение, Биология, Ветеринария"
Кабардино-Балкарский государственный аграрный университет имени В.М.Кокова,https://vuzopedia.ru/vuz/6380,383,51.91,1545,90576,90.45,"Бакалавриат, Специалитет, Магистратура","Агроинженерия, Агрономия, Ветеринария, Ветеринарно-санитарная экспертиза, Государственное и муниципальное управление"
Ульяновский институт гражданской авиации имени Главного маршала авиации Б.П. Бугаева,https://vuzopedia.ru/vuz/6387,607,69.11,219,124876,47.98,"Бакалавриат, Специалитет, Магистратура","Аэронавигация, Эксплуатация аэропортов и обеспечение полетов воздушных судов, Эксплуатация воздушных судов и организация воздушного движения"
Карачевский филиал  Орловского государственного университета имени И.С. Тургенева,https://vuzopedia.ru/vuz/6391,30,68.8,40,68437,66.67,Бакалавриат,"Конструкторско-технологическое обеспечение машиностроительных производств, Экономика"
Ливенский филиал Орловского государственного университета имени И.С. Тургенева,https://vuzopedia.ru/vuz/6393,10,51.3,65,68437,69.23,Бакалавриат,"Конструкторско-технологическое обеспечение машиностроительных производств, Экономика"
Чувашский государственный аграрный университет,https://vuzopedia.ru/vuz/6395,609,54.03,1225,74165,84.33,"Бакалавриат, Специалитет, Магистратура","Агроинженерия, Агрономия, Ветеринария, Ветеринарно-санитарная экспертиза, Землеустройство и кадастры"
Мценский филиал Орловского государственного университета имени И.С. Тургенева,https://vuzopedia.ru/vuz/6400,0,0.0,110,72733,85.71,Бакалавриат,"Конструкторско-технологическое обеспечение машиностроительных производств, Строительство, Экономика, Эксплуатация транспортно-технологических машин и комплексов"
Арктический государственный институт культуры и искусств,https://vuzopedia.ru/vuz/6402,140,69.04,175,329400,38.46,"Бакалавриат, Специалитет, Магистратура","Актерское искусство, Библиотечно-информационная деятельность, Вокальное искусство, Графика, Декоративно-прикладное искусство и народные промыслы"
Северо-Кавказская государственная академия,https://vuzopedia.ru/vuz/6404,204,65.14,1214,98700,63.6,"Бакалавриат, Специалитет, Магистратура","Агроинженерия, Агрономия, Ветеринария, Дизайн, Лесное дело"
Дагестанский государственный технический университет,https://vuzopedia.ru/vuz/6412,810,0.0,494,72877,0.0,"Бакалавриат, Специалитет, Магистратура","Архитектура, Бизнес-информатика, Биотехнические системы и технологии, Государственное и муниципальное управление, Дизайн"
Горский государственный аграрный университет,https://vuzopedia.ru/vuz/6425,279,60.24,860,65352,81.04,"Бакалавриат, Специалитет, Магистратура","Агроинженерия, Агрономия, Биотехнология, Ветеринария, Ветеринарно-санитарная экспертиза"
Амурская государственная медицинская академия,https://vuzopedia.ru/vuz/6439,246,65.29,110,185000,74.39,Специалитет,"Лечебное дело, Педиатрия"
Чурапчинский государственный институт физической культуры и спорта,https://vuzopedia.ru/vuz/6442,115,45.27,120,359100,44.83,"Бакалавриат, Магистратура","Организация работы с молодежью, Педагогическое образование, Психолого-педагогическое образование, Рекреация и спортивно-оздоровительный туризм, Спорт"
Северский технологический институт (филиал НИЯУ МИФИ),https://vuzopedia.ru/vuz/6445,87,58.74,70,142300,74.47,"Бакалавриат, Специалитет, Магистратура","Автоматизация технологических процессов и производств, Прикладная информатика, Химическая технология материалов современной энергетики, Экономика, Электроника и автоматика физических установок"
Курганская государственная сельскохозяйственная академия имени Т.С.Мальцева,https://vuzopedia.ru/vuz/6447,287,49.09,325,99389,83.75,"Бакалавриат, Специалитет, Магистратура","Агроинженерия, Агрономия, Агрохимия и агропочвоведение, Ветеринарно-санитарная экспертиза, Землеустройство и кадастры"
Северо-Кавказский горно-металлургический институт (государственный технологический универс..,https://vuzopedia.ru/vuz/6452,806,59.6,1010,85388,69.62,"Бакалавриат, Специалитет, Магистратура","Автоматизация технологических процессов и производств, Архитектура, Горное дело, Государственное и муниципальное управление, Дизайн"
Обнинский институт атомной энергетики (филиал НИЯУ МИФИ),https://vuzopedia.ru/vuz/6460,478,69.82,210,171864,61.45,"Бакалавриат, Специалитет","Атомные станции: проектирование, эксплуатация и инжиниринг, Бизнес-информатика, Биология, Информатика и вычислительная техника, Информационные системы и технологии"
Дагестанский государственный технический университет Филиал в г.Каспийске,https://vuzopedia.ru/vuz/6462,25,50.6,24,94067,80.0,Бакалавриат,"Конструкторско-технологическое обеспечение машиностроительных производств, Программная инженерия, Технология транспортных процессов"
Дагестанский государственный технический университет Филиал в г. Дербенте,https://vuzopedia.ru/vuz/6464,41,0.0,68,67230,0.0,Бакалавриат,"Прикладная информатика, Программная инженерия, Строительство, Технология транспортных процессов, Экономика"
Дагестанский государственный технический университет Филиал в г. Кизляр,https://vuzopedia.ru/vuz/6466,24,0.0,90,67434,60.0,"Бакалавриат, Специалитет","Конструкторско-технологическое обеспечение машиностроительных производств, Прикладная информатика, Таможенное дело, Технология транспортных процессов, Экономика"
Саровский физико-технический институт (филиал НИЯУ МИФИ),https://vuzopedia.ru/vuz/6468,233,68.85,60,129078,56.14,"Бакалавриат, Специалитет, Магистратура","Информатика и вычислительная техника, Информационные системы и технологии, Конструкторско-технологическое обеспечение машиностроительных производств, Прикладная математика и информатика, Прикладная механика"
Ингушский государственный университет,https://vuzopedia.ru/vuz/6473,981,64.71,803,80686,66.55,"Бакалавриат, Специалитет, Магистратура","Агроинженерия, Агрономия, Биология, Государственное и муниципальное управление, Информационные системы и технологии"
Арктический государственный агротехнологический университет,https://vuzopedia.ru/vuz/6483,612,46.99,282,217801,63.16,"Бакалавриат, Специалитет, Магистратура","Агроинженерия, Агрономия, Биология, Ветеринария, Ветеринарно-санитарная экспертиза"
Балаковский инженерно-технологический институт (филиал НИЯУ МИФИ),https://vuzopedia.ru/vuz/6484,83,62.49,245,89320,69.81,"Бакалавриат, Специалитет","Атомные станции: проектирование, эксплуатация и инжиниринг, Информационные системы и технологии, Машиностроение, Строительство, Теплоэнергетика и теплотехника"
Димитровградский инженерно-технологический институт (филиал НИЯУ МИФИ),https://vuzopedia.ru/vuz/6491,136,65.31,178,98963,64.15,"Бакалавриат, Специалитет, Магистратура","Информатика и вычислительная техника, Информационные системы и технологии, Конструкторско-технологическое обеспечение машиностроительных производств, Правовое обеспечение национальной безопасности, Применение и эксплуатация автоматизированных систем специального назначения"
Октёмский филиал Арктического государственного агротехнологического университета,https://vuzopedia.ru/vuz/6494,63,49.5,5,146667,70.0,"Бакалавриат, Магистратура","Агроинженерия, Агрономия"
Керченский государственный морской технологический университет,https://vuzopedia.ru/vuz/6496,173,53.76,263,120625,63.16,"Бакалавриат, Специалитет","Водные биоресурсы и аквакультура, Продукты питания животного происхождения, Судовождение, Технологические машины и оборудование, Экология и природопользование"
Волгодонский инженерно-технический инстиут (филиал НИЯУ МИФИ),https://vuzopedia.ru/vuz/6499,160,65.84,540,87360,78.57,"Бакалавриат, Специалитет, Магистратура","Атомные станции: проектирование, эксплуатация и инжиниринг, Информационные системы и технологии, Машиностроение, Педагогическое образование, Строительство"
Ульяновский государственный аграрный университет имени П.А.Столыпина,https://vuzopedia.ru/vuz/6500,581,51.48,766,73834,92.14,"Бакалавриат, Специалитет, Магистратура","Агроинженерия, Агрономия, Биология, Ветеринария, Ветеринарно-санитарная экспертиза"
Технологический институт (филиал НИЯУ МИФИ),https://vuzopedia.ru/vuz/6502,73,65.72,70,136470,30.43,Бакалавриат,"Информатика и вычислительная техника, Конструирование и технология электронных средств, Конструкторско-технологическое обеспечение машиностроительных производств, Педагогическое образование, Экономика"
Великолукская государственная сельскохозяйственная академия,https://vuzopedia.ru/vuz/6508,361,58.25,330,62273,100.0,"Бакалавриат, Специалитет, Магистратура","Агроинженерия, Агрохимия и агропочвоведение, Ветеринария, Зоотехния, Прикладная информатика"
Технологический институт - филиал Ульяновского государственного аграрного университета име..,https://vuzopedia.ru/vuz/6519,60,0.0,70,30000,87.5,Бакалавриат,"Технология продукции и организация общественного питания, Эксплуатация транспортно-технологических машин и комплексов"
Ковровская государственная технологическая академия имени В.А. Дегтярева,https://vuzopedia.ru/vuz/6529,220,63.06,1025,99323,78.12,"Бакалавриат, Специалитет, Магистратура","Информатика и вычислительная техника, Конструкторско-технологическое обеспечение машиностроительных производств, Лазерная техника и лазерные технологии, Менеджмент, Мехатроника и робототехника"
Вологодская государственная молочнохозяйственная академия имени Н.В.Верещагина,https://vuzopedia.ru/vuz/6533,440,53.65,965,101625,92.39,"Бакалавриат, Специалитет, Магистратура","Агроинженерия, Агрономия, Ветеринария, Ветеринарно-санитарная экспертиза, Водные биоресурсы и аквакультура"
Петрозаводская государственная консерватория имени А.К. Глазунова,https://vuzopedia.ru/vuz/6544,95,77.74,10,387000,16.88,"Бакалавриат, Специалитет, Магистратура","Вокальное искусство, Дирижирование, Искусство концертного исполнительства, Композиция, Музыкально-инструментальное искусство"
Тверской государственный медицинский университет,https://vuzopedia.ru/vuz/6547,394,79.32,289,189333,70.6,"Бакалавриат, Специалитет","Клиническая психология, Лечебное дело, Педиатрия, Сестринское дело, Стоматология"
Ивановская государственная медицинская академия,https://vuzopedia.ru/vuz/6552,360,75.76,175,189150,79.18,Специалитет,"Лечебное дело, Педиатрия, Стоматология"
Российский государственный университет народного хозяйства имени В.И.Вернадского,https://vuzopedia.ru/vuz/6556,778,48.6,740,95909,88.37,"Бакалавриат, Специалитет, Магистратура","Агроинженерия, Агрономия, Агрохимия и агропочвоведение, Бизнес-информатика, Биология"
Санкт-Петербургская государственная консерватория имени Н.А. Римского-Корсакова,https://vuzopedia.ru/vuz/6561,215,74.66,74,407626,33.33,"Бакалавриат, Специалитет, Магистратура","Вокальное искусство, Искусство концертного исполнительства, Композиция, Музыкально-инструментальное искусство, Музыкально-театральное искусство"
Северо-Осетинская государственная медицинская академия,https://vuzopedia.ru/vuz/6568,385,73.6,465,200000,77.32,Специалитет,"Лечебное дело, Медико-профилактическое дело, Педиатрия, Стоматология, Фармация"
Читинская государственная медицинская академия,https://vuzopedia.ru/vuz/6574,420,59.76,205,192667,68.56,Специалитет,"Лечебное дело, Педиатрия, Стоматология"
Чайковская государственная академия физической культуры и спорта,https://vuzopedia.ru/vuz/6578,231,62.39,97,116005,74.51,"Бакалавриат, Магистратура","Педагогическое образование, Рекреация и спортивно-оздоровительный туризм, Спорт, Физическая культура, Физическая культура для лиц с отклонениями в состоянии здоровья (адаптивная физическая кул.."
Сибирский государственный университет физической культуры и спорта,https://vuzopedia.ru/vuz/6581,518,60.36,79,118918,69.17,"Бакалавриат, Магистратура","Педагогическое образование (с двумя профилями подготовки), Реклама и связи с общественностью, Рекреация и спортивно-оздоровительный туризм, Спорт, Физическая культура"
Электростальский институт (филиал) Московского политехнического университета,https://vuzopedia.ru/vuz/6586,49,0.0,124,139615,83.33,Бакалавриат,"Автоматизация технологических процессов и производств, Конструкторско-технологическое обеспечение машиностроительных производств, Металлургия, Строительство, Управление в технических системах"
Сибайский институт (филиал) Башкирского государственного университета,https://vuzopedia.ru/vuz/6593,118,61.4,1311,56628,76.36,Бакалавриат,"Биология, География, Менеджмент, Педагогическое образование, Педагогическое образование (с двумя профилями подготовки)"
Филиал Сочинского государственного университета в г. Анапе Краснодарского края,https://vuzopedia.ru/vuz/6598,10,0.0,115,76210,75.0,Бакалавриат,"Гостиничное дело, Государственное и муниципальное управление, Туризм, Экономика"
Керченский филиал Крымского инженерно-педагогического университета имени Февзи Якубова,https://vuzopedia.ru/vuz/6606,11,0.0,30,65400,0.0,Бакалавриат,Педагогическое образование
Чебоксарский институт (филиал) Московского политехнического университета,https://vuzopedia.ru/vuz/6608,220,64.51,352,67948,74.42,"Бакалавриат, Специалитет, Магистратура","Информатика и вычислительная техника, Информационные системы и технологии, Конструкторско-технологическое обеспечение машиностроительных производств, Менеджмент, Наземные транспортно-технологические средства"
Филиал Самарского государственного технического университета в г. Новокуйбышевске,https://vuzopedia.ru/vuz/6610,49,60.53,484,94622,75.0,"Бакалавриат, Магистратура","Автоматизация технологических процессов и производств, Информатика и вычислительная техника, Менеджмент, Управление персоналом, Химическая технология"
Филиал Воронежского государственного технического университета в городе Борисоглебске,https://vuzopedia.ru/vuz/6614,114,66.01,50,112304,60.0,Бакалавриат,"Дизайн архитектурной среды, Информационные системы и технологии, Конструирование и технология электронных средств, Машиностроение, Строительство"
Шуйский филиал Ивановского государственного университета,https://vuzopedia.ru/vuz/6616,404,61.04,810,88925,81.0,"Бакалавриат, Магистратура","Народная художественная культура, Педагогическое образование, Педагогическое образование (с двумя профилями подготовки), Психолого-педагогическое образование, Сервис"
Новоуральский технологический институт (филиал НИЯУ МИФИ),https://vuzopedia.ru/vuz/6626,37,60.81,75,108032,62.96,Бакалавриат,"Информатика и вычислительная техника, Конструкторско-технологическое обеспечение машиностроительных производств, Менеджмент, Электроника и наноэлектроника, Электроэнергетика и электротехника"
Снежинский физико-технический институт (филиал НИЯУ МИФИ),https://vuzopedia.ru/vuz/6628,137,66.57,35,163100,57.58,"Бакалавриат, Специалитет, Магистратура","Боеприпасы и взрыватели, Приборостроение, Применение и эксплуатация автоматизированных систем специального назначения, Программная инженерия, Проектирование технологических машин и комплексов"
Великолукская государственная академия физической культуры и спорта,https://vuzopedia.ru/vuz/6629,201,53.9,90,95164,72.92,"Бакалавриат, Магистратура","Педагогическое образование, Психолого-педагогическое образование, Сервис, Спорт, Физическая культура"
Филиал Псковского государственного университета в г.Великие Луки Псковской области,https://vuzopedia.ru/vuz/6634,89,49.6,115,82124,61.11,Бакалавриат,"Государственное и муниципальное управление, Конструкторско-технологическое обеспечение машиностроительных производств, Психолого-педагогическое образование, Строительство, Экономика"
Озерский технологический институт (филиал НИЯУ МИФИ),https://vuzopedia.ru/vuz/6635,82,61.89,90,122188,55.17,"Бакалавриат, Специалитет","Информатика и вычислительная техника, Конструкторско-технологическое обеспечение машиностроительных производств, Приборостроение, Применение и эксплуатация автоматизированных систем специального назначения, Технологические машины и оборудование"
Трехгорный технологический институт (филиал НИЯУ МИФИ),https://vuzopedia.ru/vuz/6637,32,62.11,40,117751,63.16,Бакалавриат,"Информатика и вычислительная техника, Конструирование и технология электронных средств, Конструкторско-технологическое обеспечение машиностроительных производств, Приборостроение"
Технологический институт сервиса (филиал ДГТУ в г. Ставрополе),https://vuzopedia.ru/vuz/6639,112,64.16,254,65750,81.48,"Бакалавриат, Магистратура","Инфокоммуникационные технологии и системы связи, Информационные системы и технологии, Конструирование изделий легкой промышленности, Менеджмент, Радиотехника"
Заполярный государственный университет им. Н.М. Федоровского,https://vuzopedia.ru/vuz/6642,340,56.27,208,224303,75.0,"Бакалавриат, Специалитет, Магистратура","Автоматизация технологических процессов и производств, Горное дело, Информационные системы и технологии, Менеджмент, Металлургия"
Институт сферы обслуживания и предпринимательства (филиал ДГТУ в г. Шахты),https://vuzopedia.ru/vuz/6647,287,61.22,1471,74682,82.22,"Бакалавриат, Магистратура","Гостиничное дело, Дизайн, Инфокоммуникационные технологии и системы связи, Информационные системы и технологии, Конструирование изделий легкой промышленности"
Тучковский филиал Московского политехнического университета,https://vuzopedia.ru/vuz/6651,15,0.0,40,72800,20.0,Бакалавриат,Эксплуатация транспортно-технологических машин и комплексов
Коломенский институт (филиал) Московского политехнического университета,https://vuzopedia.ru/vuz/6653,30,68.15,142,154317,72.41,Бакалавриат,"Информатика и вычислительная техника, Конструкторско-технологическое обеспечение машиностроительных производств, Строительство, Управление в технических системах, Экономика"
Лужский институт (филиал) Ленинградского государственного университета имени А.С. Пушкина,https://vuzopedia.ru/vuz/6657,45,81.3,130,102786,85.71,Бакалавриат,"Биотехнология, Педагогическое образование, Экономика, Юриспруденция"
Институт технологий (филиал) ДГТУ в г. Волгодонске,https://vuzopedia.ru/vuz/6658,57,63.08,205,61393,75.0,Бакалавриат,"Информационные системы и технологии, Конструкторско-технологическое обеспечение машиностроительных производств, Менеджмент, Педагогическое образование, Психология"
Бокситогорский институт (филиал) Ленинградского государственного университета имени А.С. П..,https://vuzopedia.ru/vuz/6663,70,70.97,55,111114,100.0,Бакалавриат,"Государственное и муниципальное управление, Менеджмент, Педагогическое образование, Прикладная информатика, Психолого-педагогическое образование"
Ломоносовский институт (филиал) Ленинградского государственного университета имени А.С. Пу..,https://vuzopedia.ru/vuz/6665,84,70.36,140,121940,75.0,"Бакалавриат, Магистратура","Педагогическое образование, Педагогическое образование (с двумя профилями подготовки), Психология"
Рузаевский институт машиностроения (филиал) Мордовского государственного университета им. ..,https://vuzopedia.ru/vuz/6668,3,52.4,40,114750,85.0,"Бакалавриат, Магистратура","Автоматизация технологических процессов и производств, Конструкторско-технологическое обеспечение машиностроительных производств"
Кубанский государственный университет филиал в г.Армавире,https://vuzopedia.ru/vuz/6670,0,0.0,150,97224,84.62,Бакалавриат,"Управление персоналом, Экономика, Юриспруденция"
Кубанский государственный университет филиал в г.Славянске-на-Кубани,https://vuzopedia.ru/vuz/6672,185,67.81,175,88000,86.54,"Бакалавриат, Специалитет","Педагогика и психология девиантного поведения, Педагогическое образование, Педагогическое образование (с двумя профилями подготовки), Психолого-педагогическое образование"
Кубанский государственный университет филиал в г.Тихорецке,https://vuzopedia.ru/vuz/6677,0,0.0,0,82133,100.0,,
Кубанский государственный университет Филиал в г. Новороссийске,https://vuzopedia.ru/vuz/6679,25,0.0,145,98107,80.0,Бакалавриат,"Бизнес-информатика, Педагогическое образование, Педагогическое образование (с двумя профилями подготовки), Прикладная математика и информатика, Управление персоналом"
Политехнический институт (филиал) ДГТУ в г. Таганроге,https://vuzopedia.ru/vuz/6681,77,59.01,305,81154,87.5,Бакалавриат,"Информатика и вычислительная техника, Информационные системы и технологии, Конструкторско-технологическое обеспечение машиностроительных производств, Машиностроение, Менеджмент"
"
                    Набережночелнинский филиал ""Университет управления ""ТИСБИ""                ",https://vuzopedia.ru/vuz/6683,0,0.0,940,71308,84.0,"Бакалавриат, Магистратура","Менеджмент, Психолого-педагогическое образование, Физическая культура, Экономика, Юриспруденция"
Технологический институт (филиал) ДГТУ в г.Азове,https://vuzopedia.ru/vuz/6685,38,57.66,110,53083,100.0,Бакалавриат,"Информационные системы и технологии, Конструкторско-технологическое обеспечение машиностроительных производств, Технология транспортных процессов, Экономика, Эксплуатация транспортно-технологических машин и комплексов"
Губкинский филиал белгородского государственного технологического университета им. В.Г. Шу..,https://vuzopedia.ru/vuz/6691,55,56.65,161,57679,69.05,"Бакалавриат, Специалитет","Горное дело, Информатика и вычислительная техника, Конструкторско-технологическое обеспечение машиностроительных производств, Менеджмент, Строительство"
Филиал Уфимского университета науки и технологий Филиал в г. Кумертау,https://vuzopedia.ru/vuz/6692,47,61.95,245,81800,81.82,"Бакалавриат, Специалитет","Автоматизация технологических процессов и производств, Конструкторско-технологическое обеспечение машиностроительных производств, Менеджмент, Педагогическое образование (с двумя профилями подготовки), Приборостроение"
Филиал Уфимского Университета Науки и Технологий в г. Ишимбае,https://vuzopedia.ru/vuz/6693,0,58.65,200,94270,33.33,Бакалавриат,"Автоматизация технологических процессов и производств, Конструкторско-технологическое обеспечение машиностроительных производств, Прикладная информатика, Технологические машины и оборудование, Электроэнергетика и электротехника"
